Date,Time,Average,Peak
2013:02:24,04:20:17.508,52.056537,52.061986
2013:02:24,04:20:17.609,52.885047,52.983912
2013:02:24,04:20:17.713,53.211006,53.211006
2013:02:24,04:20:17.809,55.067940,55.067940
2013:02:24,04:20:17.910,52.774204,52.915905
2013:02:24,04:20:18.009,50.000005,50.024717
2013:02:24,04:20:18.112,52.067445,52.114129
2013:02:24,04:20:18.207,58.708056,58.711325
2013:02:24,04:20:18.308,52.387950,52.387950
2013:02:24,04:20:18.413,48.768169,48.768169
2013:02:24,04:20:18.508,48.650673,48.658450
2013:02:24,04:20:18.608,50.759863,50.759863
2013:02:24,04:20:18.713,53.396556,53.396556
2013:02:24,04:20:18.808,57.034199,57.034199
2013:02:24,04:20:18.908,52.148954,52.155816
2013:02:24,04:20:19.008,50.178730,50.217466
2013:02:24,04:20:19.108,55.703651,55.738841
2013:02:24,04:20:19.209,50.481221,50.482195
2013:02:24,04:20:19.308,49.039564,49.039564
2013:02:24,04:20:19.408,54.684513,54.685059
2013:02:24,04:20:19.508,51.750648,51.750648
2013:02:24,04:20:19.608,51.045080,51.047815
2013:02:24,04:20:19.713,50.795796,50.835228
2013:02:24,04:20:19.810,50.560271,50.560271
2013:02:24,04:20:19.908,49.013654,49.013654
2013:02:24,04:20:20.013,50.690954,50.691873
2013:02:24,04:20:20.108,53.207916,53.445871
2013:02:24,04:20:20.209,49.271677,49.285090
2013:02:24,04:20:20.312,64.338048,64.443121
2013:02:24,04:20:20.408,52.165267,52.165267
2013:02:24,04:20:20.508,50.835810,50.872736
2013:02:24,04:20:20.608,64.978539,64.978539
2013:02:24,04:20:20.711,57.550566,57.634262
2013:02:24,04:20:20.808,58.188785,58.216427
2013:02:24,04:20:20.909,64.363213,64.660983
2013:02:24,04:20:21.012,51.080888,51.137046
2013:02:24,04:20:21.108,65.214498,65.226783
2013:02:24,04:20:21.209,60.825792,60.896570
2013:02:24,04:20:21.313,62.978377,62.978377
2013:02:24,04:20:21.409,55.365857,55.374073
2013:02:24,04:20:21.508,65.101273,65.105486
2013:02:24,04:20:21.608,54.422618,54.473622
2013:02:24,04:20:21.709,52.324005,52.325820
2013:02:24,04:20:21.809,56.774487,56.774487
2013:02:24,04:20:21.910,47.603709,47.603709
2013:02:24,04:20:22.012,50.326327,50.326327
2013:02:24,04:20:22.108,51.522847,51.606008
2013:02:24,04:20:22.209,51.640602,51.667651
2013:02:24,04:20:22.313,51.447722,51.516595
2013:02:24,04:20:22.409,51.465328,51.518956
2013:02:24,04:20:22.508,49.501970,49.501970
2013:02:24,04:20:22.612,49.452390,49.476968
2013:02:24,04:20:22.708,51.197701,51.212520
2013:02:24,04:20:22.808,50.443369,50.447574
2013:02:24,04:20:22.908,51.232145,51.238827
2013:02:24,04:20:23.007,50.558176,50.558176
2013:02:24,04:20:23.108,52.474222,52.478812
